id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9781480000000,Deep Learning for Natural Language Processing,Creating Neural Networks with Python,"Palash Goyal, Sumit Pandey, Karan Jain",Apress,26/6/18,deep learning,4.55
9798680000000,Deep Learning with Python,Simple and Effective Tips and Tricks to Learn Deep Learning with Python,Benjamin Smith,Independently Published,24/8/20,deep learning,5.6
9783030000000,Visual Domain Adaptation in the Deep Learning Era,,"Gabriela Csurka, Timothy M. Hospedales, Mathieu Salzmann, Tatiana Tommasi",Springer Nature,6/6/22,deep learning,4.22
9783030000000,3D Point Cloud Analysis,"Traditional, Deep Learning, and Explainable Machine Learning Methods","Shan Liu, Min Zhang, Pranav Kadam, C.-C. Jay Kuo",Springer Nature,10/12/21,deep learning,3.19
9780530000000,Learning How to Learn,How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,"Barbara Oakley, PhD, Terrence Sejnowski, PhD, Alistair McConville",Penguin,7/8/18,deep learning,6.9
1790764165,Python Programming,"This Book Includes: Deep Learning with Keras, Convolutional Neural Networks, Machine Learning, Tensorflow, Data Analytics, Natural Language Processing, Devops Handbook and Adoption",Frank Millstein,Independently Published,10/12/18,deep learning,7.3
9781640000000,Deep Learning Patterns and Practices,,Andrew Ferlitsch,Simon and Schuster,12/10/21,deep learning,4.55
9781790000000,Hands-On Deep Learning Algorithms with Python,Master deep learning algorithms with extensive math by implementing them using TensorFlow,Sudharsan Ravichandiran,Packt Publishing Ltd,25/7/19,deep learning,5.6
9781840000000,Machine Learning for Algorithmic Trading,Predictive models to extract signals from market and alternative data for systematic trading strategies with Python,Stefan Jansen,Packt Publishing Ltd,31/7/20,deep learning,4.22
9781120000000,Sensor Data Analysis and Management,The Role of Deep Learning,"A. Suresh, R. Udendhran, M. S. Irfan Ahmed",John Wiley & Sons,22/11/21,deep learning,3.19
1548585793,Deep Learning with Keras,Introduction to Deep Learning with Keras,Anthony Williams,Createspace Independent Publishing Platform,5/7/17,deep learning,6.9
1803241330,Practical Deep Learning at Scale with MLflow,Bridge the Gap Between Offline Experimentation and Online Production,"Yong Liu, Matei Zaharia",Packt Publishing,8/7/22,deep learning,7.3
9783110000000,Deep Learning for Cognitive Computing Systems,Technological Advancements and Applications,"M.G. Sumithra, Rajesh Kumar Dhanaraj, Celestine Iwendi, Anto Merline Manoharan",Walter de Gruyter GmbH & Co KG,31/12/22,deep learning,4.55
3030410706,Machine Learning in Finance,From Theory to Practice,"Matthew F. Dixon, Igor Halperin, Paul Bilokon",Springer,2/7/21,deep learning,5.6
9811563241,Deep Learning for Medical Decision Support Systems,,"Utku Kose, Omer Deperlioglu, Jafar Alzubi, Bogdan Patrut",Springer,18/6/20,deep learning,4.55
1505714346,"Artificial Intelligence for Humans, Volume 3",Deep Learning and Neural Networks,Jeff Heaton,Createspace Independent Publishing Platform,28/10/15,deep learning,5.6
9788270000000,Approaching (Almost) Any Machine Learning Problem,,Abhishek Thakur,Abhishek Thakur,4/7/20,deep learning,4.22
1795409207,Deep Learning with Pytorch,Guide for Beginners and Intermediate,Jerry N. P,Independently Published,29/1/19,deep learning,3.19
1484237986,Machine Learning and AI for Healthcare,Big Data for Improved Health Outcomes,Arjun Panesar,Apress,5/2/19,deep learning,6.9
9780320000000,Explainable Deep Learning AI,Methods and Challenges,"Jenny Benois-Pineau, Romain Bourqui, Dragutin Petkovic, Georges Quenot",Elsevier,20/2/23,deep learning,7.3
9783030000000,"Machine Learning and Big Data Analytics Paradigms: Analysis, Applications and Challenges",,"Aboul Ella Hassanien, Ashraf Darwish",Springer Nature,14/12/20,deep learning,4.55
387310738,Pattern Recognition and Machine Learning,,Christopher M. Bishop,Springer Verlag,17/8/06,deep learning,5.6
9781840000000,Artificial Intelligence By Example,"Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition",Denis Rothman,Packt Publishing Ltd,28/2/20,deep learning,4.22
9781000000000,Deep Learning and IoT in Healthcare Systems,Paradigms and Applications,"Krishna Kant Singh, Akansha Singh, Jenn-Wei Lin, Ahmed A. Elngar",CRC Press,15/12/21,deep learning,3.19
9789810000000,Machine Learning in Information and Communication Technology,"Proceedings of ICICT 2021, SMIT","Hiren Kumar Deva Sarma, Vincenzo Piuri, Arun Kumar Pujari",Springer Nature,21/12/22,deep learning,6.9
9781120000000,Machine Learning for Business Analytics,"Concepts, Techniques and Applications in RapidMiner","Galit Shmueli, Peter C. Bruce, Amit V. Deokar, Nitin R. Patel",John Wiley & Sons,14/3/23,deep learning,7.3
3030909867,Deep Learning to See,Towards New Foundations of Computer Vision,"Alessandro Betti, Marco Gori, Stefano Melacci",Springer,27/4/22,deep learning,4.55
9781450000000,You Don't Know JS: Scope & Closures,,Kyle Simpson,"""O'Reilly Media, Inc.""",10/3/14,deep learning,5.6
1493938436,Pattern Recognition and Machine Learning,,Christopher M. Bishop,Springer,23/8/16,deep learning,4.22
